species,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95,region,disease,disease_proportion,exchg_rate_lcuperusdol,mean_usd,lower95_usd,upper95_usd,sd_usd
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,External,-93975.46691492398,4191.545556625345,-102190.89620590965,-85760.0376239383,National,Cause A,0.5,23.8661044574125,-3937.612318869091,-4281.842325305439,-3593.382312432742,175.62755430425955
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,External,-46987.73345746199,2095.7727783126725,-51095.448102954826,-42880.01881196915,National,Cause B,0.25,23.8661044574125,-1968.8061594345454,-2140.9211626527194,-1796.691156216371,87.81377715212977
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,External,-28192.640074477193,1257.4636669876033,-30657.268861772896,-25728.01128718149,National,Cause C,0.15,23.8661044574125,-1181.283695660727,-1284.5526975916318,-1078.0146937298225,52.68826629127786
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,External,-18795.093382984796,838.309111325069,-20438.179241181933,-17152.00752478766,National,Cause D,0.1,23.8661044574125,-787.5224637738181,-856.3684650610879,-718.6764624865483,35.12551086085191
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,-93975.46691492398,4191.545556625345,-102190.89620590965,-85760.0376239383,National,Pathogen A,0.5,23.8661044574125,-3937.612318869091,-4281.842325305439,-3593.382312432742,175.62755430425955
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,-46987.73345746199,2095.7727783126725,-51095.448102954826,-42880.01881196915,National,Pathogen B,0.25,23.8661044574125,-1968.8061594345454,-2140.9211626527194,-1796.691156216371,87.81377715212977
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,-28192.640074477193,1257.4636669876033,-30657.268861772896,-25728.01128718149,National,Pathogen C,0.15,23.8661044574125,-1181.283695660727,-1284.5526975916318,-1078.0146937298225,52.68826629127786
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,-18795.093382984796,838.309111325069,-20438.179241181933,-17152.00752478766,National,Pathogen D,0.1,23.8661044574125,-787.5224637738181,-856.3684650610879,-718.6764624865483,35.12551086085191
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Non-infectious,-93975.46691492398,4191.545556625345,-102190.89620590965,-85760.0376239383,National,Condition A,0.5,23.8661044574125,-3937.612318869091,-4281.842325305439,-3593.382312432742,175.62755430425955
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Non-infectious,-46987.73345746199,2095.7727783126725,-51095.448102954826,-42880.01881196915,National,Condition B,0.25,23.8661044574125,-1968.8061594345454,-2140.9211626527194,-1796.691156216371,87.81377715212977
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Non-infectious,-28192.640074477193,1257.4636669876033,-30657.268861772896,-25728.01128718149,National,Condition C,0.15,23.8661044574125,-1181.283695660727,-1284.5526975916318,-1078.0146937298225,52.68826629127786
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Non-infectious,-18795.093382984796,838.309111325069,-20438.179241181933,-17152.00752478766,National,Condition D,0.1,23.8661044574125,-787.5224637738181,-856.3684650610879,-718.6764624865483,35.12551086085191
All Poultry,Small holder,Adult,Adult,Overall,2017,Mortality,External,5732986.65205935,14816197.5764239,-23306760.597731493,34772733.901850194,National,Cause A,0.5,23.8661044574125,240214.5964914169,-976563.252680004,1456992.4456628377,620805.0250874597
All Poultry,Small holder,Adult,Adult,Overall,2017,Mortality,External,2866493.326029675,7408098.78821195,-11653380.298865747,17386366.950925097,National,Cause B,0.25,23.8661044574125,120107.29824570844,-488281.626340002,728496.2228314189,310402.51254372986
