location_name,map_id,reporting_year,sum_isolates,overall_prev,woah_region,antimicrobial_class,pathogen
ALGERIA,DZA,2009,13,0.1205890245,Africa,Fluoroquinolones,Non-typhoidal Salmonella
ALGERIA,DZA,2010,114,0.01048600213,Africa,Aminoglycosides,E. coli
ALGERIA,DZA,2010,114,0.0,Africa,Aminopenicillins,E. coli
ALGERIA,DZA,2010,114,0.4823560978,Africa,Aminopenicillins with beta-lactamase inhibitors,E. coli
ALGERIA,DZA,2012,99,0.00460748578,Africa,Aminoglycosides,E. coli
ALGERIA,DZA,2012,99,0.3942313123,Africa,Aminopenicillins,E. coli
ALGERIA,DZA,2012,99,0.0181651451,Africa,Aminopenicillins with beta-lactamase inhibitors,E. coli
ALGERIA,DZA,2012,99,0.3764368844,Africa,Fluoroquinolones,E. coli
ALGERIA,DZA,2012,99,0.0,Africa,Third generation cephalosporins,E. coli
ALGERIA,DZA,2013,85,0.1782620362,Africa,Aminoglycosides,E. coli
ALGERIA,DZA,2013,85,0.2726360553,Africa,Aminopenicillins,E. coli
ALGERIA,DZA,2013,85,0.07864501595000001,Africa,Aminopenicillins with beta-lactamase inhibitors,E. coli
ALGERIA,DZA,2013,255,0.09961702021,Africa,Fluoroquinolones,E. coli
ALGERIA,DZA,2013,67,0.0,Africa,Fluoroquinolones,S. aureus
ALGERIA,DZA,2013,67,0.02377597202,Africa,Macrolides,S. aureus
ALGERIA,DZA,2014,221,0.5423575601999999,Africa,Aminoglycosides,E. coli
ALGERIA,DZA,2014,13,0.2831220574,Africa,Aminopenicillins,E. coli
ALGERIA,DZA,2014,217,0.4162675007,Africa,Aminopenicillins with beta-lactamase inhibitors,E. coli
ALGERIA,DZA,2014,434,0.9047156586,Africa,Fluoroquinolones,E. coli
ALGERIA,DZA,2014,1833,0.5046649677,Africa,Macrolides,S. aureus
ALGERIA,DZA,2014,217,0.5869703747,Africa,Third generation cephalosporins,E. coli
ANGOLA,AGO,2013,10,0.5838794584,Africa,Aminoglycosides,E. coli
ANGOLA,AGO,2013,10,0.44968601900000005,Africa,Fluoroquinolones,E. coli
ANGOLA,AGO,2013,6,0.21583230960000002,Africa,Third generation cephalosporins,E. coli
ARGENTINA,ARG,2002,52,0.04623006638,Americas,Macrolides,S. aureus
ARGENTINA,ARG,2006,69,0.02876913256,Americas,Aminoglycosides,E. coli
ARGENTINA,ARG,2006,69,0.030413082990000003,Americas,Aminopenicillins,E. coli
ARGENTINA,ARG,2006,69,0.0,Americas,Aminopenicillins with beta-lactamase inhibitors,E. coli
ARGENTINA,ARG,2006,69,0.0,Americas,Third generation cephalosporins,E. coli
ARGENTINA,ARG,2007,137,0.1494660673,Americas,Aminoglycosides,E. coli
ARGENTINA,ARG,2007,137,0.103881411,Americas,Aminopenicillins,E. coli
ARGENTINA,ARG,2007,137,0.0,Americas,Aminopenicillins with beta-lactamase inhibitors,E. coli
ARGENTINA,ARG,2007,274,0.01966198851,Americas,Fluoroquinolones,E. coli
ARGENTINA,ARG,2007,118,0.19089096690000001,Americas,Fluoroquinolones,Non-typhoidal Salmonella
ARGENTINA,ARG,2007,137,0.0,Americas,Third generation cephalosporins,E. coli
ARGENTINA,ARG,2009,56,0.1078701549,Americas,Aminoglycosides,E. coli
ARGENTINA,ARG,2009,56,0.1078701549,Americas,Aminopenicillins,E. coli
ARGENTINA,ARG,2009,56,0.0,Americas,Fluoroquinolones,E. coli
ARGENTINA,ARG,2012,40,0.018494442360000002,Americas,Aminoglycosides,E. coli
ARGENTINA,ARG,2012,128,0.01572027601,Americas,Aminopenicillins,E. coli
ARGENTINA,ARG,2012,40,0.00205493804,Americas,Aminopenicillins with beta-lactamase inhibitors,E. coli
ARGENTINA,ARG,2012,80,0.00410987608,Americas,Fluoroquinolones,E. coli
ARGENTINA,ARG,2013,19,0.0,Americas,Aminoglycosides,E. coli
ARGENTINA,ARG,2013,19,0.0,Americas,Aminopenicillins,E. coli
