region,scope,number_of_countries,antimicrobial,tonnes
Africa,AGP,1.0,aminoglycosides,0.0
Americas,AGP,5.0,aminoglycosides,0.0
"Asia, Far East and Oceania",AGP,6.0,aminoglycosides,0.707
Europe,AGP,0.0,aminoglycosides,
Global,AGP,12.0,aminoglycosides,0.707
Middle East,AGP,0.0,aminoglycosides,
Africa,All,24.0,aminoglycosides,33.65154353510884
Americas,All,19.0,aminoglycosides,762.3757826245582
"Asia, Far East and Oceania",All,22.0,aminoglycosides,1425.6633331469927
Europe,All,41.0,aminoglycosides,527.6433177347999
Global,All,109.0,aminoglycosides,2753.9849770414594
Middle East,All,3.0,aminoglycosides,4.651
Africa,Terrestrial Food Producing,6.0,aminoglycosides,3.8016855000000005
Americas,Terrestrial Food Producing,11.0,aminoglycosides,166.50740406923404
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,aminoglycosides,1210.6992128601441
Europe,Terrestrial Food Producing,10.0,aminoglycosides,81.437791987
Global,Terrestrial Food Producing,37.0,aminoglycosides,1465.4160944163782
Middle East,Terrestrial Food Producing,1.0,aminoglycosides,2.97
Africa,AGP,1.0,amphenicols,0.0
Americas,AGP,5.0,amphenicols,0.0
"Asia, Far East and Oceania",AGP,6.0,amphenicols,0.0
Europe,AGP,0.0,amphenicols,
Global,AGP,12.0,amphenicols,0.0
Middle East,AGP,0.0,amphenicols,
Africa,All,24.0,amphenicols,20.410307295
Americas,All,19.0,amphenicols,739.797925
"Asia, Far East and Oceania",All,22.0,amphenicols,2422.62492398
Europe,All,41.0,amphenicols,243.87317625000006
Global,All,109.0,amphenicols,3428.306332525
Middle East,All,3.0,amphenicols,1.6
Africa,Terrestrial Food Producing,6.0,amphenicols,9.3548
Americas,Terrestrial Food Producing,11.0,amphenicols,96.02734378000001
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,amphenicols,2141.469115
Europe,Terrestrial Food Producing,10.0,amphenicols,28.0098675
Global,Terrestrial Food Producing,37.0,amphenicols,2276.36112628
Middle East,Terrestrial Food Producing,1.0,amphenicols,1.5
Africa,AGP,1.0,arsenicals,0.0
Americas,AGP,5.0,arsenicals,0.0
