location_name,map_id,reporting_year,antibiotic_pathogen_combo,sum_isolates,overall_prev,prop_2.5,prop_97.5,world_region
ALGERIA,DZA,2009,Fluoroquinolones & Non-typhoidal Salmonella,13,12.05890245,0.692673028,23.55490188,Africa
ALGERIA,DZA,2010,Aminoglycosides & E. coli,114,1.048600213,0.06311411,2.347210613,Africa
ALGERIA,DZA,2010,Aminopenicillins & E. coli,114,0.0,0.000297744,0.009446606,Africa
ALGERIA,DZA,2010,Aminopenicillins with beta-lactamase inhibitors & E. coli,114,48.23560978,45.71920279,50.71817124,Africa
ALGERIA,DZA,2012,Aminoglycosides & E. coli,99,0.460748578,0.033663378,1.384040659,Africa
ALGERIA,DZA,2012,Aminopenicillins & E. coli,99,39.42313123,34.65179667,44.17702577,Africa
ALGERIA,DZA,2012,Aminopenicillins with beta-lactamase inhibitors & E. coli,99,1.81651451,0.499022449,3.997490239,Africa
ALGERIA,DZA,2012,Fluoroquinolones & E. coli,99,37.64368844,32.65391955,42.24690738,Africa
ALGERIA,DZA,2012,Third generation cephalosporins & E. coli,99,0.0,0.001684219,0.013019343,Africa
ALGERIA,DZA,2013,Aminoglycosides & E. coli,85,17.82620362,12.71231633,22.85713342,Africa
ALGERIA,DZA,2013,Aminopenicillins & E. coli,85,27.26360553,21.96845604,32.60197539,Africa
ALGERIA,DZA,2013,Aminopenicillins with beta-lactamase inhibitors & E. coli,85,7.864501595,4.04042837,11.58295626,Africa
ALGERIA,DZA,2013,Fluoroquinolones & E. coli,255,9.961702021,7.069166993,12.84134055,Africa
ALGERIA,DZA,2013,Fluoroquinolones & S. aureus,67,0.0,0.000265454,0.011087247,Africa
ALGERIA,DZA,2013,Macrolides & S. aureus,67,2.377597202,0.107692478,4.738057171,Africa
ALGERIA,DZA,2014,Aminoglycosides & E. coli,221,54.23575602,46.991425,61.24539114,Africa
ALGERIA,DZA,2014,Aminopenicillins & E. coli,13,28.31220574,14.72661911,41.88428395,Africa
ALGERIA,DZA,2014,Aminopenicillins with beta-lactamase inhibitors & E. coli,217,41.62675007,27.84987756,55.21855241,Africa
ALGERIA,DZA,2014,Fluoroquinolones & E. coli,434,90.47156586,88.56725221,92.61575098,Africa
ALGERIA,DZA,2014,Macrolides & S. aureus,1833,50.46649677,47.12006923,53.87202526,Africa
ALGERIA,DZA,2014,Third generation cephalosporins & E. coli,217,58.69703747,50.54323891,63.39601029,Africa
ANGOLA,AGO,2013,Aminoglycosides & E. coli,10,58.38794584,27.25419824,77.89317158,Africa
ANGOLA,AGO,2013,Fluoroquinolones & E. coli,10,44.9686019,10.80418089,79.91511207,Africa
ANGOLA,AGO,2013,Third generation cephalosporins & E. coli,6,21.58323096,21.56639285,21.582818,Africa
ARGENTINA,ARG,2002,Macrolides & S. aureus,52,4.623006638,0.276987217,9.336043256,Americas
