,country,year,yield_pigs_hgperhd,production_pigs_tonnes,slaughtered_pigs_hd,stocks_pigs_hd,country_inscope
866,Kiribati,2017,400.0,997.0,24925.0,14479.0,False
966,Malawi,2017,362.0,187440.0,5181686.0,3785291.0,False
357,"China, Taiwan Province of",2018,1026.0,828645.0,8073454.0,5432676.0,True
1338,Rwanda,2019,377.0,14698.0,389570.0,1577203.0,False
1586,Togo,2017,300.0,18781.0,626002.0,1043336.0,False
940,Luxembourg,2011,703.0,9747.0,138714.0,89158.0,False
1441,Slovakia,2012,909.0,70604.0,776318.0,580393.0,False
1752,Viet Nam,2013,702.0,3228670.0,45970000.0,26264408.0,False
808,Israel,2019,819.0,13600.0,166000.0,166058.0,False
829,Jamaica,2020,719.0,7986.0,111141.0,218410.0,False
1085,Myanmar,2016,776.0,874024.0,11258071.0,16524336.0,False
302,Chad,2013,297.0,2445.0,82438.0,109313.0,False
137,Belize,2018,544.0,2123.0,39003.0,24391.0,False
1179,Nigeria,2020,450.0,302976.0,6732788.0,7990514.0,False
746,Hungary,2017,930.0,469829.0,5050984.0,2907000.0,False
274,Cameroon,2015,300.0,32261.0,1075105.0,1845660.0,False
1521,Sweden,2012,901.0,232980.0,2585680.0,1363364.0,False
522,El Salvador,2013,515.0,7978.0,154968.0,281174.0,False
1114,Nepal,2015,326.0,20135.0,618331.0,1203230.0,False
358,"China, Taiwan Province of",2019,1027.0,819735.0,7979588.0,5514211.0,True
380,Congo,2011,473.0,1890.0,40000.0,92000.0,False
917,Lesotho,2018,500.0,580.0,11590.0,49275.0,False
943,Luxembourg,2014,740.0,12150.0,164155.0,87092.0,False
1614,Trinidad and Tobago,2015,990.0,2072.0,20935.0,29634.0,False
509,Ecuador,2020,1079.0,226148.0,2096494.0,1059842.0,False
190,Brazil,2011,926.0,3227000.0,34862000.0,39307336.0,True
1164,Niger,2015,450.0,1500.0,33326.0,42469.0,False
111,Belarus,2012,750.0,442900.0,5905000.0,4242900.0,False
101,Barbados,2012,733.0,2541.0,34679.0,22500.0,False
164,Bolivia (Plurinational State of),2015,590.0,93628.0,1587755.0,2855489.0,False
1084,Myanmar,2015,822.0,863235.0,10507363.0,15055885.0,False
1747,Venezuela (Bolivarian Republic of),2018,684.0,124482.0,1819862.0,3024753.0,False
1653,Tuvalu,2014,300.0,119.0,3964.0,14140.0,False
1104,Nauru,2015,302.0,75.0,2487.0,3000.0,False
1676,Ukraine,2017,869.0,735900.0,8465500.0,6669100.0,False
426,Cuba,2017,586.0,234300.0,3995200.0,2069400.0,False
92,Bahamas,2013,500.0,340.0,6802.0,5000.0,False
1760,Zambia,2011,440.0,26180.0,595000.0,815685.0,False
692,Guinea,2013,268.0,1662.0,62000.0,105970.0,False
750,Iceland,2011,797.0,6044.0,75820.0,34300.0,False
665,Greece,2016,583.0,76702.0,1315790.0,697724.0,False
624,Gambia,2015,400.0,380.0,9492.0,10402.0,False
395,Cook Islands,2016,285.0,518.0,18176.0,30975.0,False
677,Grenada,2018,701.0,255.0,3636.0,2961.0,False
1620,Tunisia,2011,438.0,114.0,2600.0,5500.0,False
362,"China, mainland",2013,768.0,54930300.0,715569980.0,478931400.0,True
392,Cook Islands,2013,300.0,555.0,18500.0,32200.0,False
521,El Salvador,2012,452.0,9487.0,210118.0,365723.0,False
1287,Puerto Rico,2018,1636.0,8990.0,54949.0,48903.0,False
1159,Nicaragua,2020,546.0,12494.0,228958.0,529433.0,False
1002,Mauritania,2013,,0.0,0.0,,False
1737,Vanuatu,2018,513.0,3417.0,66645.0,91531.0,False
227,Burkina Faso,2018,300.0,40244.0,1341454.0,2539000.0,False
193,Brazil,2014,860.0,3192918.0,37130094.0,37930307.0,True
300,Chad,2011,296.0,2421.0,81820.0,108293.0,False
1324,Russian Federation,2015,878.0,3098678.0,35310350.0,19546095.0,False
347,"China, Macao SAR",2018,863.0,5851.0,67761.0,,True
468,Democratic Republic of the Congo,2019,452.0,26076.0,577439.0,995584.0,False
206,Brunei Darussalam,2017,353.0,53.0,1500.0,1300.0,False
846,Kazakhstan,2017,746.0,91912.0,1231324.0,815121.0,False
1675,Ukraine,2016,875.0,748000.0,8550300.0,7079000.0,False
1498,Spain,2019,876.0,4641160.0,52982310.0,31246040.0,True
1773,Zimbabwe,2014,550.0,20800.0,378000.0,238145.0,False
1394,Senegal,2015,495.0,15003.0,302979.0,409994.0,False
1231,Paraguay,2012,979.0,33183.0,339000.0,1168606.0,False
1403,Serbia,2014,566.0,320363.0,5657008.0,3235658.0,False
1279,Portugal,2020,675.0,379290.0,5617880.0,2259180.0,False
804,Israel,2015,834.0,15825.0,189850.0,190000.0,False
544,Estonia,2015,916.0,50100.0,547000.0,357900.0,False
1059,Montenegro,2020,945.0,3000.0,31761.0,26853.0,False
238,Burundi,2019,723.0,9751.0,134837.0,804013.0,False
208,Brunei Darussalam,2019,354.0,32.0,905.0,773.0,False
1079,Mozambique,2020,762.0,91708.0,1203852.0,1695167.0,False
1476,Somalia,2017,498.0,105.0,2107.0,3828.0,False
740,Hungary,2011,927.0,434707.0,4687213.0,3169000.0,False
663,Greece,2014,571.0,82850.0,1449807.0,724150.0,False
72,Austria,2013,974.0,529284.0,5431798.0,2983158.0,False
1526,Sweden,2017,934.0,240700.0,2576290.0,1382300.0,False
1345,Saint Kitts and Nevis,2016,629.0,66.0,1050.0,7100.0,False
596,France,2017,916.0,2147550.0,23453731.0,12930857.0,True
1214,Panama,2015,740.0,35954.0,485961.0,365000.0,False
1030,Micronesia (Federated States of),2011,300.0,933.0,31115.0,35000.0,False
1180,Niue,2011,645.0,60.0,930.0,2112.0,False
571,Fiji,2012,450.0,4005.0,89000.0,146400.0,False
488,Dominica,2019,601.0,426.0,7092.0,5070.0,False
1031,Micronesia (Federated States of),2012,300.0,932.0,31058.0,35000.0,False
1604,Tonga,2015,474.0,1709.0,36055.0,83356.0,False
76,Austria,2017,987.0,508494.0,5152595.0,2792803.0,False
109,Barbados,2020,821.0,2848.0,34686.0,19827.0,False
8,Albania,2019,494.0,10232.0,206967.0,183847.0,False
1353,Saint Lucia,2014,1652.0,512.0,3100.0,11018.0,False
180,Botswana,2011,358.0,460.0,12850.0,4865.0,False
666,Greece,2017,584.0,77319.0,1323843.0,716856.0,False
710,Guyana,2011,501.0,203.0,4050.0,9000.0,False
1121,Netherlands,2012,930.0,1331731.0,14317700.0,12233650.0,True
1652,Tuvalu,2013,301.0,117.0,3885.0,14036.0,False
264,Cambodia,2015,500.0,111618.0,2232359.0,2180000.0,False
1533,Switzerland,2014,883.0,242094.0,2742441.0,1498321.0,False
625,Gambia,2016,400.0,440.0,11000.0,12000.0,False
1765,Zambia,2016,440.0,26850.0,610000.0,1051082.0,False
