,country,year,commodity,biodiesel_production_from_commodity_nan_units,biofuel_use_tonnes_thousands,consumption_tonnes_thousands,consumption_nan_units,direct_ghg_emission_tonnes_of_co2_equivalent_millions,ending_stocks_tonnes_thousands,ethanol_production_from_commodity_nan_units,exports_tonnes_thousands,exports_nan_units,feed_nan_units,food_fat_availability_g_person_day_units,food_protein_availability_g_person_day_units,food_tonnes_thousands,human_consumption_per_capita_kilograms_per_capita_units,imports_tonnes_thousands,other_use_tonnes_thousands,producer_price_national_currency_per_tonne_units,production_tonnes_thousands,total_calorie_availability_kcal_person_day_units,trade_balance_tonnes_thousands,world_price_us_dollar_per_tonne_units
784,Pakistan,2018,Pigmeat,0.0,0.0,0.079,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.079,0.0,0.079,0.0,0.0,0.0,0.0,-0.079,
1004,Turkey,2020,Pigmeat,0.0,0.0,0.0,,0.0,0.425,0.0,18.645,,0.0,0.0,0.0,0.0,0.0,18.645,0.0,16394.827,0.0,0.0,0.0,
30,ASIA,2013,Pigmeat,0.0,0.0,69149.732,,76.326,267.394,0.0,485.001,,0.0,13.359,4.561,69149.732,12.488,3094.072,0.0,0.0,66538.39,140.18,-2609.0733,
101,BRICS,2012,Poultry meat,0.0,0.0,,35440.655,23.333,44.657,0.0,,4471.811,0.0,3.593,3.658,35440.655,10.239,1552.738,0.0,0.0,38360.283,47.797,2919.0726,
503,Japan,2021,Poultry meat,0.0,0.0,,2563.955,0.799,349.039,0.0,,11.571,0.0,4.144,7.568,2563.955,17.9,897.801,0.0,217.766,1676.761,69.638,-886.23,
715,Norway,2019,Poultry meat,0.0,0.0,,106.346,0.055,0.0,0.0,,1.226,0.0,3.923,8.504,106.346,17.399,4.119,0.0,23466.349,103.453,71.514,-2.8931,
416,Indonesia,2014,Pigmeat,0.0,0.0,305.137,,1.533,0.0,0.0,17.67,,0.0,2.427,0.783,305.137,0.933,3.014,0.0,27449294.109,319.793,25.333,14.6559,
469,Israel,2016,Poultry meat,0.0,0.0,,636.974,0.22,0.0,0.0,,4.942,0.0,12.684,27.499,636.974,69.125,1.786,0.0,5727.384,640.13,231.23,3.1556,
637,NORTH AMERICA,2016,Poultry meat,0.0,0.0,,19145.701,11.204,479.448,0.0,,3438.171,0.0,13.892,18.677,19145.701,46.879,281.743,0.0,0.0,22311.116,205.473,3156.428,
1099,Viet Nam,2019,Poultry meat,0.0,0.0,,1253.907,1.999,0.0,0.0,,39.15,0.0,4.393,5.706,1253.907,11.439,213.492,0.0,42292098.882,1079.566,64.146,-174.3415,
25,ASIA,2010,Poultry meat,0.0,0.0,,38586.177,38.26,333.406,0.0,,1516.255,0.0,2.634,3.027,38586.177,8.116,5389.058,0.0,0.0,34716.801,36.688,-3872.8059,
528,Korea,2010,Pigmeat,0.0,0.0,1544.08,,1.139,60.0,0.0,0.374,,0.0,11.85,8.56,1544.08,24.309,387.6,0.0,3200.0,1109.855,143.667,-387.2255,
33,ASIA,2014,Poultry meat,0.0,0.0,,43205.491,37.839,392.406,0.0,,2299.194,0.0,2.873,3.308,43205.491,8.713,5336.437,0.0,0.0,40166.246,40.082,-3037.2452,
72,Australia,2010,Pigmeat,0.0,0.0,488.209,,0.931,0.0,0.0,38.151,,0.0,8.983,5.233,488.209,17.188,184.259,0.0,2686.63,342.101,103.0,-146.108,
472,Israel,2018,Pigmeat,0.0,0.0,11.717,,0.05,0.0,0.0,1.606,,0.0,1.55,0.41,11.717,1.09,0.0,0.0,0.0,13.323,15.666,1.606,
983,Thailand,2021,Poultry meat,0.0,0.0,,561.43,0.888,39.247,0.0,,1194.441,0.0,2.717,3.796,561.43,7.063,3.422,0.0,41011.176,1748.696,40.787,1191.0186,
424,Indonesia,2018,Pigmeat,0.0,0.0,219.357,,1.702,0.0,0.0,15.42,,0.0,1.213,0.39,219.357,0.639,3.623,0.0,19879341.423,231.153,12.666,11.7962,
413,Indonesia,2012,Poultry meat,0.0,0.0,,1764.764,6.41,0.0,0.0,,3.31,0.0,1.517,2.313,1764.764,6.251,0.495,0.0,17675634.876,1767.579,23.667,2.8154,
449,Iran,2018,Poultry meat,0.0,0.0,,2194.127,4.291,0.0,0.0,,68.39,0.0,5.951,9.73,2194.127,23.604,4.6,0.0,1480.851,2257.917,95.245,63.79,
404,India,2020,Pigmeat,0.0,0.0,355.008,,1.384,0.0,0.0,0.872,,0.0,0.191,0.066,355.008,0.201,0.661,0.0,174273.233,355.219,1.985,0.211,
511,Kazakhstan,2013,Poultry meat,0.0,0.0,,304.356,0.095,0.0,0.0,,2.684,0.0,3.787,6.033,304.356,15.731,180.3,0.0,337515.618,126.74,60.0,-177.616,
896,Saudi Arabia,2014,Pigmeat,0.0,0.0,7.9,,0.0,0.0,0.0,2.023,,0.0,0.0,0.0,7.9,0.199,9.923,0.0,0.0,0.0,0.0,-7.9,
813,Paraguay,2020,Poultry meat,0.0,0.0,,72.482,0.061,0.0,0.0,,6.471,0.0,2.608,3.015,72.482,8.943,25.104,0.0,10317062.004,53.849,36.526,-18.633,
485,Japan,2012,Poultry meat,0.0,0.0,,2206.41,0.175,321.402,0.0,,7.05,0.0,3.75,6.773,2206.41,15.119,736.0,0.0,196.0,1459.46,62.667,-728.95,
104,BRICS,2014,Pigmeat,0.0,0.0,64246.225,,70.618,1.201,0.0,857.161,,0.0,16.779,5.714,64246.225,16.181,1261.885,0.0,0.0,63841.501,175.984,-404.7238,
818,Peru,2011,Pigmeat,0.0,0.0,121.795,,0.732,0.0,0.0,0.658,,0.0,1.85,1.3,121.795,3.246,4.211,0.0,5595.593,118.242,21.667,-3.5529,
982,Thailand,2021,Pigmeat,0.0,0.0,901.683,,1.651,0.0,0.0,310.407,,0.0,12.529,4.147,901.683,10.054,1.528,0.0,64044.219,1210.562,130.692,308.8792,
