,geo,time_period,breedingsows_gte50kg_dec_thsdhd,breedingsows_gte50kg_jun_thsdhd,pigs_20to50kg_dec_thsdhd,pigs_20to50kg_jun_thsdhd,pigs_50to80kg_dec_thsdhd,pigs_50to80kg_jun_thsdhd,pigs_80to110kg_dec_thsdhd,pigs_80to110kg_jun_thsdhd,pigs_gte110kg_dec_thsdhd,pigs_gte110kg_jun_thsdhd,pigs_lt20kg_dec_thsdhd,pigs_lt20kg_jun_thsdhd,sl_pigmeat_thsdhd,sl_pigmeat_thsdtonne,_merge_slaughter,piglets_live_priceper100kg_euros,pigs_grade1_carcass_priceper100kg_euros,pigs_grade2_carcass_priceper100kg_euros,pigs_light_live_priceper100kg_euros,_merge_prodprice,electricity_priceper100kwh_euros,dieseloil_priceper100litres_euros,heatingoil_priceper100litres_euros,motorspirit_priceper100litres_euros,residualfueloil_priceper100kg_euros,feed_bulk_fatteningpigs_priceper100kg_euros,feed_sacks_fatteningpigs_priceper100kg_euros,feed_bulk_rearingpigs_priceper100kg_euros,feed_sacks_rearingpigs_priceper100kg_euros,feed_bulk_sows_priceper100kg_euros,feed_sacks_sows_priceper100kg_euros,_merge_costofprod
0,AL,2014,16.12,,42.28,,24.82,,29.52,,29.95,,28.52,,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
1,AL,2015,16.62,,43.65,,25.55,,29.81,,31.51,,29.1,,119.17,8.26,both,,,,,left_only,,,,,,,,,,,,left_only
2,AL,2016,12.67,,42.94,,34.4,,32.58,,16.52,,38.78,,113.12,7.63,both,,,,,left_only,,,,,,,,,,,,left_only
3,AL,2017,11.77,,40.88,,34.22,,32.42,,16.44,,37.83,,114.57,7.13,both,,,,,left_only,,,,,,,,,,,,left_only
4,AL,2018,12.12,,42.04,,35.13,,33.33,,16.81,,38.83,,99.77,4.91,both,,,,,left_only,,,,,,,,,,,,left_only
5,AL,2019,13.54,,41.73,,34.83,,33.04,,16.54,,38.53,,128.0,6.29,both,,,,,left_only,,,,,,,,,,,,left_only
6,AL,2020,13.36,,35.67,,29.73,,28.18,,13.97,,32.2,,78.35,3.86,both,,,,,left_only,,,,,,,,,,,,left_only
7,AT,2011,270.05,275.55,804.09,829.2,603.07,580.1,496.82,480.75,107.17,100.86,717.9,776.92,5600.05,543.77,both,199.0,,,123.83,both,16.34,110.98,77.0,,,,,,,,,both
8,AT,2012,257.9,267.59,792.97,818.32,600.35,566.09,491.63,457.74,116.2,99.0,718.81,746.75,5433.32,529.76,both,239.23,,,137.9,both,16.5,117.56,83.34,,,,,,,,,both
9,AT,2013,249.85,257.32,785.46,792.76,578.67,549.37,483.95,445.24,108.78,102.81,684.61,719.44,5417.37,528.21,both,236.71,,,138.76,both,17.26,117.56,83.34,,,,,,,,,both
10,AT,2014,242.27,246.47,762.17,784.76,564.24,534.83,487.0,430.49,115.19,105.63,692.73,696.27,5406.92,525.57,both,219.31,,,129.07,both,17.29,108.17,73.25,,,,,,,,,both
11,AT,2015,244.97,240.3,744.0,771.34,559.56,536.62,484.33,435.82,124.55,93.21,683.35,678.28,5414.23,527.77,both,189.75,,,116.16,both,16.47,93.5,59.6,,,,,,,,,both
12,AT,2016,236.36,231.62,743.55,736.23,566.09,513.33,457.55,416.43,124.31,105.34,660.56,658.55,5227.58,511.49,both,210.32,,,121.2,both,16.56,85.9,51.0,,,,,,,,,both
13,AT,2017,239.21,235.74,736.7,747.74,554.35,506.12,487.9,408.02,129.64,99.26,667.8,666.99,5154.01,505.36,both,249.33,,,134.11,both,15.15,92.1,57.2,,,,,,,,,both
14,AT,2018,228.71,227.84,714.94,747.52,553.61,523.85,487.9,427.42,134.67,99.42,652.75,647.84,5151.94,509.52,both,204.69,,,121.2,both,15.4,101.9,67.0,,,,,,,,,both
15,AT,2019,230.22,222.58,722.22,742.47,557.7,517.95,470.06,421.42,138.12,103.4,650.93,639.12,5085.87,502.03,both,256.68,,,142.99,both,15.81,100.5,66.0,,,,,,,,,both
16,AT,2020,226.84,229.06,739.94,743.18,558.32,519.08,463.37,419.85,150.14,111.79,664.11,667.18,5068.16,503.17,both,248.9,,,138.15,both,16.72,87.5,50.7,,,,,,,,,both
17,AT,2021,224.08,229.45,728.01,748.99,537.39,528.16,483.85,432.98,153.29,122.19,655.05,667.73,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
18,BA,2011,103.0,,108.0,,73.0,,79.0,,41.0,,167.0,,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
19,BA,2012,93.0,,99.0,,56.0,,74.0,,41.0,,171.0,,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
20,BA,2013,97.0,,92.0,,57.0,,65.0,,41.0,,172.0,,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
