,year,country,disease,serotype_subtype_genotype,animal_category,species,cases_thsdhd,deaths_thsdhd,killed_and_disposed_of_thsdhd,new_outbreaks,slaughtered_thsdhd,susceptible_thsdhd,vaccinated_thsdhd
280,2019,India,Classical swine fever virus (Inf. with),-,Domestic,Swine,0.055,0.015,0.0,0,0.0,0.165,0.05
160,2015,India,Porcine reproductive and respiratory syndrome virus (Inf. with),-,Domestic,Swine,0.0,0.0,0.0,0,0.0,0.0,0.0
87,2013,India,Foot and mouth disease virus (Inf. with),not typed,Domestic,Swine,0.026000000000000002,0.0,0.0,0,0.0,0.0,0.0
18,2011,India,Foot and mouth disease virus (Inf. with),not sampled,Domestic,Swine,0.035,0.0,0.0,0,0.0,0.0,0.0
120,2014,India,Classical swine fever virus (Inf. with),-,Domestic,Swine,1.726,0.28900000000000003,0.0,0,0.0,0.0,3.22
193,2016,India,Porcine reproductive and respiratory syndrome virus (Inf. with),-,Domestic,Swine,0.0,0.0,0.0,0,0.0,0.0,0.0
181,2016,China (People's Rep. of),Porcine reproductive and respiratory syndrome virus (Inf. with),-,Domestic,Swine,0.8470000000000001,0.115,0.08300000000000002,0,0.0,5.566,0.225
174,2016,Brazil,Echinococcus granulosus (Inf. with) (2014-),-,Domestic,Swine,0.29600000000000004,0.0,0.0,0,0.29600000000000004,0.0,0.0
55,2012,India,Foot and mouth disease virus (Inf. with),O,Domestic,Swine,0.098,0.0,0.0,0,0.0,0.0,0.0
10,2011,China (People's Rep. of),Taenia solium (Inf. with) (Porcine cysticercosis),-,Domestic,Swine,0.405,0.014000000000000002,0.007,0,0.0,1.2510000000000001,0.0
293,2019,Spain,Trichinella spp. (Inf. with),-,Domestic,Swine,0.001,0.0,0.001,0,0.0,0.0,0.0
262,2018,Italy,African swine fever virus (Inf. with),-,Domestic,Swine,0.215,0.012,0.713,0,0.0,0.725,0.0
215,2017,China (People's Rep. of),Transmissible gastroenteritis,-,Domestic,Swine,186.99699999999999,57.644000000000005,52.176,0,0.462,2661.1639999999998,196.8610000000001
141,2015,Brazil,Brucella abortus (Inf. with),-,Domestic,Swine,0.001,0.0,0.001,0,0.003,0.004,0.0
31,2011,Spain,Transmissible gastroenteritis,-,Domestic,Swine,0.001,0.0,0.0,0,0.0,0.02,0.0
123,2014,India,Porcine reproductive and respiratory syndrome virus (Inf. with),-,Domestic,Swine,0.020000000000000004,0.0,0.020000000000000004,0,0.0,0.47900000000000004,0.0
295,2020,China (People's Rep. of),African swine fever virus (Inf. with),-,Domestic,Swine,1.098,0.8699999999999999,11.412000000000003,18,0.0,12.282,0.0
52,2012,Germany,Echinococcosis/hydatidosis,-,Domestic,Swine,0.003,0.0,0.0,0,0.0,0.0,0.0
40,2012,China (People's Rep. of),Anthrax,-,Domestic,Swine,0.09600000000000002,0.069,0.3,0,0.185,44.811,167.718
294,2020,Brazil,Classical swine fever virus (Inf. with),-,Domestic,Swine,0.020000000000000004,0.003,0.047,2,0.0,0.05,0.0
265,2018,Italy,Trichinella spp. (Inf. with),-,Domestic,Swine,0.015,0.0,0.278,0,0.0,0.278,0.0
20,2011,Italy,Aujeszky's disease virus (Inf. with),-,Domestic,Swine,0.041,0.0,0.0,0,0.0,0.122,0.0
106,2014,Brazil,Vesicular stomatitis (-2014),Indiana,Domestic,Swine,0.004,0.0,0.0,0,0.0,0.083,0.0
149,2015,China (People's Rep. of),Japanese encephalitis,-,Domestic,Swine,0.481,0.14900000000000002,0.14700000000000002,0,0.0,15.305,4.136
54,2012,India,Classical swine fever virus (Inf. with),-,Domestic,Swine,3.612,1.9769999999999999,0.0,0,0.0,0.0,20.574
216,2017,China (People's Rep. of),Trichinella spp. (Inf. with),-,Domestic,Swine,0.113,0.043000000000000003,0.041,0,0.0,0.203,0.15
234,2017,Spain,Echinococcus granulosus (Inf. with) (2014-),-,Domestic,Swine,0.11000000000000001,0.0,0.11000000000000001,0,0.0,0.0,0.0
