,year,country,disease,serotype_subtype_genotype,animal_category,species,cases_thsdhd,deaths_thsdhd,killed_and_disposed_of_thsdhd,new_outbreaks,slaughtered_thsdhd,susceptible_thsdhd,vaccinated_thsdhd
500,2020,Netherlands,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Domestic,Birds,0.15,0.15,27.531,1,0.0,27.681,0.0
460,2019,France,Low pathogenic avian influenza (poultry) (2006-2021),H5,Domestic,Birds,0.0,0.0,2.6,0,0.0,2.6,0.0
90,2012,Poland,Avian mycoplasmosis (M.synoviae) (2006-),-,Domestic,Birds,81.423,0.7000000000000001,0.0,0,0.0,132.055,0.0
130,2013,Italy,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7;H7N7,Domestic,Birds,256.851,9.664,972.791,0,0.0,982.455,0.0
54,2012,Brazil,Avian infectious laryngotracheitis,-,Domestic,Birds,96.612,75.707,0.0,0,0.0,3298.428,0.0
100,2012,United Kingdom,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),-,Domestic,Birds,0.002,0.0,0.0,0,0.0,0.0,0.0
87,2012,Netherlands,Low pathogenic avian influenza (poultry) (2006-2021),H5N2,Domestic,Birds,0.2,0.0,44.5,0,0.0,44.5,0.0
453,2018,Poland,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),-,Domestic,Birds,70.61500000000001,0.0,0.0,0,0.0,228.072,0.0
215,2014,United States of America,Low pathogenic avian influenza (poultry) (2006-2021),H5N8,Domestic,Birds,0.0,0.0,116.0,0,0.0,116.0,0.0
154,2013,United Kingdom,Fowl typhoid,-,Domestic,Birds,1.2,1.2,58.800000000000004,0,0.0,60.0,0.0
258,2015,Italy,Low pathogenic avian influenza (poultry) (2006-2021),H5N2,Domestic,Birds,0.17300000000000001,0.0,23.61,0,0.0,23.796,0.0
513,2020,United States of America,Newcastle disease virus (Inf. with),-,Domestic,Birds,0.0,0.0,0.0,0,0.0,0.0,0.0
449,2018,Poland,Avian infectious bronchitis,-,Domestic,Birds,90.967,0.38,0.0,0,0.0,392.137,0.0
514,2021,France,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N8,Domestic,Birds,767.4069999999999,42.25799999999999,1431.4519999999998,320,0.0,1473.7099999999998,0.0
319,2016,India,Fowl typhoid,-,Domestic,Birds,15.949,0.29000000000000004,0.0,0,0.0,0.0,0.0
48,2011,United Kingdom,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),-,Domestic,Birds,0.009000000000000001,0.0,0.0,0,0.0,0.0,0.0
403,2017,Poland,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N8,Domestic,Birds,38.57,38.565000000000005,721.373,0,0.0,759.95,0.0
424,2018,China (People's Rep. of),Infectious bursal disease (Gumboro disease),-,Domestic,Birds,54.43100000000002,9.636,6.874999999999998,0,0.031,530.256,195.37700000000007
223,2015,China (People's Rep. of),Avian infectious bronchitis,-,Domestic,Birds,478.82999999999987,43.44900000000001,43.80300000000001,0,0.674,4750.234,1154.0119999999997
354,2017,China (People's Rep. of),Avian infectious bronchitis,-,Domestic,Birds,149.668,15.777,14.553999999999998,0,0.14100000000000001,2716.1620000000007,479.387
163,2014,China (People's Rep. of),Avian chlamydiosis,-,Domestic,Birds,5.151,0.002,0.002,0,0.0,7.7620000000000005,0.0
196,2014,Italy,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N8,Domestic,Birds,1.982,1.982,30.003,0,0.0,31.985,0.0
46,2011,United Kingdom,Infectious bursal disease (Gumboro disease),-,Domestic,Birds,0.095,0.0,0.0,0,0.0,0.0,0.0
349,2017,Brazil,Avian mycoplasmosis (M.synoviae) (2006-),-,Domestic,Birds,6755.467,28.123,0.065,0,1361.17,9011.234,0.0
486,2020,China (People's Rep. of),High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N6,Domestic,Birds,1.84,1.84,0.657,1,0.0,2.497,0.0
186,2014,Germany,Low pathogenic avian influenza (poultry) (2006-2021),H5N1,Domestic,Birds,0.048,0.048,38.275,0,0.0,38.323,0.0
101,2012,United Kingdom,Pullorum disease,-,Domestic,Birds,0.001,0.0,0.0,0,0.0,0.0,0.0
419,2018,China (People's Rep. of),Duck virus hepatitis,-,Domestic,Birds,16.939999999999998,6.957000000000001,2.7099999999999995,0,0.003,251.42700000000002,46.687999999999995
442,2018,Italy,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N8,Domestic,Birds,43.306,4.953,370.617,0,0.0,375.57,0.0
152,2013,United Kingdom,Avian infectious laryngotracheitis,-,Domestic,Birds,0.0,0.0,0.0,0,0.0,0.0,0.0
68,2012,China (People's Rep. of),Newcastle disease virus (Inf. with),-,Domestic,Birds,114.20499999999998,50.116,172.57199999999997,0,6.042,814.7610000000001,1079.2490000000005
207,2014,Poland,Fowl typhoid,-,Domestic,Birds,10.903,0.0,0.0,0,0.0,10.96,0.0
