,location,country,commodity_code,commodity,variable_code,variable,year,base_unit_code,base_unit,unit_power,unit_multiplier,reference_period_code,reference_period,value,flag_codes,flags
0,AUS,Australia,WT,Wheat,QP,Production,2010,TONNE,Tonnes,3,Thousands,,,27410.1,,
1,AUS,Australia,WT,Wheat,QP,Production,2011,TONNE,Tonnes,3,Thousands,,,29905.009,,
2,AUS,Australia,WT,Wheat,QP,Production,2012,TONNE,Tonnes,3,Thousands,,,22855.0,,
3,AUS,Australia,WT,Wheat,QP,Production,2013,TONNE,Tonnes,3,Thousands,,,25302.707,,
4,AUS,Australia,WT,Wheat,QP,Production,2014,TONNE,Tonnes,3,Thousands,,,23742.56,,
5,AUS,Australia,WT,Wheat,QP,Production,2015,TONNE,Tonnes,3,Thousands,,,22274.514,,
6,AUS,Australia,WT,Wheat,QP,Production,2016,TONNE,Tonnes,3,Thousands,,,31818.744,,
7,AUS,Australia,WT,Wheat,QP,Production,2017,TONNE,Tonnes,3,Thousands,,,20941.133,,
8,AUS,Australia,WT,Wheat,QP,Production,2018,TONNE,Tonnes,3,Thousands,,,17597.561,,
9,AUS,Australia,WT,Wheat,QP,Production,2019,TONNE,Tonnes,3,Thousands,,,15165.0,,
10,AUS,Australia,WT,Wheat,QP,Production,2020,TONNE,Tonnes,3,Thousands,,,31164.5,,
11,AUS,Australia,WT,Wheat,QP,Production,2021,TONNE,Tonnes,3,Thousands,,,23501.396,,
12,AUS,Australia,WT,Wheat,QP__ET,Ethanol production from commodity,2010,LT,Litres,6,Millions,,,365.725,,
13,AUS,Australia,WT,Wheat,QP__ET,Ethanol production from commodity,2011,LT,Litres,6,Millions,,,323.536,,
14,AUS,Australia,WT,Wheat,QP__ET,Ethanol production from commodity,2012,LT,Litres,6,Millions,,,265.466,,
15,AUS,Australia,WT,Wheat,QP__ET,Ethanol production from commodity,2013,LT,Litres,6,Millions,,,281.061,,
16,AUS,Australia,WT,Wheat,QP__ET,Ethanol production from commodity,2014,LT,Litres,6,Millions,,,234.802,,
17,AUS,Australia,WT,Wheat,QP__ET,Ethanol production from commodity,2015,LT,Litres,6,Millions,,,228.788,,
18,AUS,Australia,WT,Wheat,QP__ET,Ethanol production from commodity,2016,LT,Litres,6,Millions,,,267.566,,
19,AUS,Australia,WT,Wheat,QP__ET,Ethanol production from commodity,2017,LT,Litres,6,Millions,,,263.688,,
20,AUS,Australia,WT,Wheat,QP__ET,Ethanol production from commodity,2018,LT,Litres,6,Millions,,,271.444,,
21,AUS,Australia,WT,Wheat,QP__ET,Ethanol production from commodity,2019,LT,Litres,6,Millions,,,222.288,,
22,AUS,Australia,WT,Wheat,QP__ET,Ethanol production from commodity,2020,LT,Litres,6,Millions,,,222.288,,
23,AUS,Australia,WT,Wheat,QP__ET,Ethanol production from commodity,2021,LT,Litres,6,Millions,,,232.158,,
24,AUS,Australia,WT,Wheat,IM,Imports,2010,TONNE,Tonnes,3,Thousands,,,11.593,,
25,AUS,Australia,WT,Wheat,IM,Imports,2011,TONNE,Tonnes,3,Thousands,,,13.84,,
26,AUS,Australia,WT,Wheat,IM,Imports,2012,TONNE,Tonnes,3,Thousands,,,17.047,,
27,AUS,Australia,WT,Wheat,IM,Imports,2013,TONNE,Tonnes,3,Thousands,,,19.994,,
28,AUS,Australia,WT,Wheat,IM,Imports,2014,TONNE,Tonnes,3,Thousands,,,21.819,,
29,AUS,Australia,WT,Wheat,IM,Imports,2015,TONNE,Tonnes,3,Thousands,,,25.266,,
30,AUS,Australia,WT,Wheat,IM,Imports,2016,TONNE,Tonnes,3,Thousands,,,25.266,,
31,AUS,Australia,WT,Wheat,IM,Imports,2017,TONNE,Tonnes,3,Thousands,,,28.461,,
32,AUS,Australia,WT,Wheat,IM,Imports,2018,TONNE,Tonnes,3,Thousands,,,28.461,,
33,AUS,Australia,WT,Wheat,IM,Imports,2019,TONNE,Tonnes,3,Thousands,,,28.461,,
34,AUS,Australia,WT,Wheat,IM,Imports,2020,TONNE,Tonnes,3,Thousands,,,28.461,,
35,AUS,Australia,WT,Wheat,IM,Imports,2021,TONNE,Tonnes,3,Thousands,,,28.44,,
36,AUS,Australia,WT,Wheat,QC,Consumption,2010,TONNE,Tonnes,3,Thousands,,,6267.98,,
37,AUS,Australia,WT,Wheat,QC,Consumption,2011,TONNE,Tonnes,3,Thousands,,,6332.754,,
38,AUS,Australia,WT,Wheat,QC,Consumption,2012,TONNE,Tonnes,3,Thousands,,,6458.106,,
39,AUS,Australia,WT,Wheat,QC,Consumption,2013,TONNE,Tonnes,3,Thousands,,,6784.398,,
40,AUS,Australia,WT,Wheat,QC,Consumption,2014,TONNE,Tonnes,3,Thousands,,,7153.858,,
41,AUS,Australia,WT,Wheat,QC,Consumption,2015,TONNE,Tonnes,3,Thousands,,,7233.256,,
42,AUS,Australia,WT,Wheat,QC,Consumption,2016,TONNE,Tonnes,3,Thousands,,,7805.271,,
43,AUS,Australia,WT,Wheat,QC,Consumption,2017,TONNE,Tonnes,3,Thousands,,,8685.904,,
44,AUS,Australia,WT,Wheat,QC,Consumption,2018,TONNE,Tonnes,3,Thousands,,,8809.022,,
