,geo,time_period,breedingsows_gte50kg_dec_thsdhd,breedingsows_gte50kg_jun_thsdhd,pigs_20to50kg_dec_thsdhd,pigs_20to50kg_jun_thsdhd,pigs_50to80kg_dec_thsdhd,pigs_50to80kg_jun_thsdhd,pigs_80to110kg_dec_thsdhd,pigs_80to110kg_jun_thsdhd,pigs_gte110kg_dec_thsdhd,pigs_gte110kg_jun_thsdhd,pigs_lt20kg_dec_thsdhd,pigs_lt20kg_jun_thsdhd
154,EU25,2019,11333.5,,30883.12,,26621.18,,23342.28,,8563.92,,41650.65,
345,PT,2014,234.34,,481.46,,378.23,,283.22,,29.9,,713.84,
385,SE,2021,120.7,127.79,330.1,320.27,230.3,220.92,217.8,204.55,101.4,99.75,370.8,376.23
419,XK,2016,11.47,,5.63,,2.68,,2.34,,3.43,,15.24,
372,RS,2019,417.0,410.0,584.0,472.0,337.0,335.0,266.0,234.0,283.0,118.0,965.0,1032.0
319,MT,2021,3.66,,10.34,,9.62,,5.47,,0.97,,9.88,
137,EU15,2011,10853.76,,27608.66,,23133.89,,19745.9,,5907.79,,34640.53,
97,DK,2015,1237.0,1248.0,3884.0,3851.0,2518.0,2392.0,629.0,598.0,7.0,6.0,4416.0,4539.0
229,IE,2012,144.19,144.6,412.62,419.0,298.74,316.18,213.89,237.69,14.91,7.82,407.67,444.27
390,SI,2015,20.3,,52.01,,39.25,,36.57,,62.91,,59.5,
325,NL,2016,1022.0,1052.83,1730.0,1839.86,1827.0,1831.25,1711.0,1699.8,602.0,407.42,4986.0,5576.8
271,LU,2012,5.57,,34.27,,20.84,,14.51,,5.08,,8.29,
410,UK,2013,482.0,507.0,1131.0,1231.0,966.0,1030.0,614.0,676.0,50.0,62.0,1125.0,1364.0
48,BG,2020,65.77,,128.72,,144.77,,112.06,,8.83,,131.01,
401,SK,2015,53.36,,173.07,,109.02,,121.39,,28.2,,147.17,
281,LV,2011,46.58,,111.94,,88.43,,40.69,,2.54,,83.97,
388,SI,2013,22.92,,63.25,,41.22,,35.68,,56.93,,67.49,
314,MT,2016,3.66,,9.49,,9.05,,7.09,,1.11,,10.0,
46,BG,2018,69.99,,154.18,,131.06,,137.81,,7.92,,152.47,
409,UK,2012,494.0,507.0,1075.0,1130.0,916.0,969.0,593.0,627.0,48.0,59.0,1075.0,1173.0
128,ES,2013,2252.93,2235.08,5591.78,5811.91,4634.57,4315.22,5198.66,4444.23,725.8,763.73,7055.32,7103.04
295,ME,2015,2.0,,6.0,,1.3,,1.1,,7.2,,6.0,
28,BE,2011,482.44,514.63,1313.39,1374.45,1561.88,1566.31,1278.74,1232.77,144.64,156.23,1541.68,1668.6
