,geo,time_period,chickshatched_broilers_slct_thsdhd,chickshatched_broilers_thsdhd,chickshatched_layers_slct_thsdhd,chickshatched_layers_thsdhd
0,AT,2011,0.0,66632.1,0.0,8897.1
1,AT,2012,0.0,65303.5,0.0,8749.5
2,AT,2013,0.0,63952.17,0.0,8456.3
3,AT,2014,0.0,69818.21,0.0,9337.13
4,AT,2015,0.0,74527.32,0.0,10031.12
5,AT,2016,0.0,79358.06,0.0,9201.98
6,AT,2017,0.0,81516.95,0.0,9176.39
7,AT,2018,0.0,83076.71,0.0,9553.19
8,AT,2019,0.0,81636.75,0.0,9280.09
9,AT,2020,0.0,84876.67,0.0,9435.79
10,AT,2021,0.0,86990.15,0.0,9886.5
11,BA,2014,0.0,39648.0,0.0,2118.0
12,BA,2015,0.0,39615.0,0.0,1894.0
13,BA,2016,0.0,39713.0,0.0,1446.0
14,BA,2017,0.0,40098.0,0.0,1621.0
15,BA,2018,0.0,40436.0,0.0,1507.0
16,BA,2019,0.0,41579.0,0.0,1153.0
17,BA,2020,0.0,41530.0,0.0,970.0
18,BE,2011,0.0,183019.3,0.0,6001.4
19,BE,2012,0.0,184937.0,0.0,8564.3
20,BE,2013,0.0,193929.48,0.0,7266.55
21,BE,2014,0.0,219502.24,0.77,7371.03
22,BE,2015,0.0,237635.64,0.0,7554.38
23,BE,2016,0.0,250334.92,0.0,7053.78
24,BE,2017,24.47,258063.21,2.37,6263.65
25,BE,2018,0.0,258188.5,0.0,5985.46
26,BE,2019,0.0,256511.58,0.0,7353.94
27,BE,2020,0.0,272430.75,0.0,5735.21
28,BE,2021,0.0,248029.85,0.0,5903.51
29,BG,2011,0.0,64707.0,0.0,2041.3
30,BG,2012,0.0,67541.0,0.0,2853.8
31,BG,2013,0.0,61554.07,0.0,2621.9
32,BG,2014,0.0,63700.86,0.0,2799.57
33,BG,2015,0.0,71173.36,0.0,0.0
34,BG,2016,0.0,70987.3,0.0,0.0
35,BG,2017,0.0,78101.0,0.0,0.0
36,BG,2018,0.0,80672.1,0.0,0.0
37,BG,2019,0.0,74865.8,0.0,0.0
38,BG,2020,0.0,67509.1,0.0,0.0
39,BG,2021,0.0,68946.7,0.0,0.0
40,CY,2011,0.0,13839.0,0.0,337.0
41,CY,2012,0.0,12735.15,0.0,391.39
42,CY,2013,0.0,10984.84,0.0,360.8
43,CY,2014,0.0,11062.77,0.0,278.18
44,CY,2015,0.0,11699.08,0.0,375.55
45,CY,2016,0.0,3847.02,0.0,269.58
46,CY,2017,0.0,12.5,0.0,262.89
47,CY,2018,0.0,13348.0,0.0,536.44
48,CY,2019,0.0,13439.07,0.0,442.53
49,CY,2020,0.0,13362.26,0.0,583.42
299,SE,2011,0.0,0.0,0.0,0.0
300,SE,2012,0.0,0.0,0.0,0.0
301,SE,2013,0.0,0.0,0.0,0.0
302,SE,2014,0.0,0.0,0.0,0.0
303,SE,2015,0.0,0.0,0.0,0.0
304,SE,2016,0.0,0.0,0.0,0.0
305,SE,2017,0.0,0.0,0.0,0.0
306,SE,2018,0.0,0.0,0.0,0.0
307,SE,2019,0.0,0.0,0.0,0.0
308,SE,2020,0.0,0.0,0.0,0.0
309,SE,2021,0.0,0.0,0.0,0.0
310,SI,2011,0.0,0.0,0.0,0.0
311,SI,2012,0.0,0.0,0.0,0.0
312,SI,2013,0.0,0.0,0.0,0.0
313,SI,2014,0.0,0.0,0.0,0.0
314,SI,2015,0.0,0.0,0.0,0.0
315,SI,2016,0.0,0.0,0.0,0.0
316,SI,2017,0.0,0.0,0.0,0.0
317,SI,2018,0.0,0.0,0.0,0.0
318,SI,2019,0.0,0.0,0.0,0.0
319,SI,2020,0.0,0.0,0.0,0.0
320,SI,2021,0.0,0.0,0.0,0.0
321,SK,2011,0.0,41675.0,0.0,0.0
322,SK,2012,0.0,49931.0,0.0,0.0
323,SK,2013,0.0,0.0,0.0,0.0
324,SK,2014,0.0,0.0,0.0,0.0
325,SK,2015,0.0,0.0,0.0,0.0
326,SK,2016,0.0,0.0,0.0,0.0
327,SK,2017,0.0,0.0,0.0,0.0
328,SK,2018,0.0,0.0,0.0,0.0
329,SK,2019,0.0,0.0,0.0,0.0
330,SK,2020,0.0,0.0,0.0,0.0
331,SK,2021,0.0,0.0,0.0,0.0
332,TR,2013,0.0,1111703.0,0.0,52333.0
333,TR,2014,0.0,1176135.0,0.0,62148.0
334,TR,2015,0.0,1183143.54,0.0,61819.39
335,TR,2016,0.0,1188152.34,0.0,65052.8
336,TR,2017,0.0,1325161.51,0.0,68707.11
337,TR,2018,0.0,1315954.45,0.0,70302.39
338,TR,2019,0.0,1327731.21,0.0,70265.95
339,TR,2020,0.0,1329288.41,0.0,64452.44
340,UK,2011,6587.1,896578.8,0.0,32189.1
341,UK,2012,6940.7,918357.1,0.0,34729.1
342,UK,2013,6976.48,943304.18,0.0,33816.13
343,UK,2014,8228.93,937442.71,0.0,35320.79
344,UK,2015,8610.44,972014.42,0.0,36368.78
345,UK,2016,14242.73,1027614.95,0.0,44485.52
346,UK,2017,8124.42,1047660.02,0.0,38353.56
347,UK,2018,8128.88,1087576.27,0.0,40147.89
348,UK,2019,8047.48,1077638.05,0.0,38670.36
