Country,Year,Component,Tonnes,Component Source
United Kingdom,2011,Achievable Without Disease (gmax),1302835.9017991757,Breed Standard Potential
United Kingdom,2012,Achievable Without Disease (gmax),1345611.029156752,Breed Standard Potential
United Kingdom,2013,Achievable Without Disease (gmax),1370956.9813956283,Breed Standard Potential
United Kingdom,2014,Achievable Without Disease (gmax),1362438.1776300145,Breed Standard Potential
United Kingdom,2015,Achievable Without Disease (gmax),1413385.6975484316,Breed Standard Potential
United Kingdom,2016,Achievable Without Disease (gmax),1471669.286012554,Breed Standard Potential
United Kingdom,2017,Achievable Without Disease (gmax),1522623.1870124803,Breed Standard Potential
United Kingdom,2018,Achievable Without Disease (gmax),1583884.9020457668,Breed Standard Potential
United Kingdom,2019,Achievable Without Disease (gmax),1563668.0792803946,Breed Standard Potential
United Kingdom,2020,Achievable Without Disease (gmax),1697879.6716849778,Breed Standard Potential
United Kingdom,2011,Effect of Feed & Practices,55770.39436096804,Breed Standard Potential
United Kingdom,2012,Effect of Feed & Practices,62005.883051377794,Breed Standard Potential
United Kingdom,2013,Effect of Feed & Practices,38651.22831537845,Breed Standard Potential
United Kingdom,2014,Effect of Feed & Practices,40730.824319343286,Breed Standard Potential
United Kingdom,2015,Effect of Feed & Practices,50231.35143362993,Breed Standard Potential
United Kingdom,2016,Effect of Feed & Practices,43137.9098036481,Breed Standard Potential
United Kingdom,2017,Effect of Feed & Practices,42090.037527825334,Breed Standard Potential
United Kingdom,2018,Effect of Feed & Practices,37323.23577521538,Breed Standard Potential
United Kingdom,2019,Effect of Feed & Practices,17131.66443568046,Breed Standard Potential
United Kingdom,2020,Effect of Feed & Practices,23070.542422609564,Breed Standard Potential
United Kingdom,2011,Realized Production,1297274.538099816,Achievable Without Disease (gmax)
United Kingdom,2012,Realized Production,1321836.0957126205,Achievable Without Disease (gmax)
United Kingdom,2013,Realized Production,1388343.3188975092,Achievable Without Disease (gmax)
United Kingdom,2014,Realized Production,1383244.4406250762,Achievable Without Disease (gmax)
United Kingdom,2015,Realized Production,1456433.1791193748,Achievable Without Disease (gmax)
United Kingdom,2016,Realized Production,1525819.2655838951,Achievable Without Disease (gmax)
United Kingdom,2017,Realized Production,1596030.1750276308,Achievable Without Disease (gmax)
United Kingdom,2018,Realized Production,1673908.6487731454,Achievable Without Disease (gmax)
United Kingdom,2019,Realized Production,1641628.74116657,Achievable Without Disease (gmax)
United Kingdom,2020,Realized Production,1710836.0101744842,Achievable Without Disease (gmax)
United Kingdom,2011,Burden of Disease,5561.3636993595865,Achievable Without Disease (gmax)
United Kingdom,2012,Burden of Disease,23774.9334441314,Achievable Without Disease (gmax)
United Kingdom,2013,Burden of Disease,-17386.337501880946,Achievable Without Disease (gmax)
United Kingdom,2014,Burden of Disease,-20806.262995061697,Achievable Without Disease (gmax)
United Kingdom,2015,Burden of Disease,-43047.48157094326,Achievable Without Disease (gmax)
United Kingdom,2016,Burden of Disease,-54149.97957134107,Achievable Without Disease (gmax)
United Kingdom,2017,Burden of Disease,-73406.98801515042,Achievable Without Disease (gmax)
United Kingdom,2018,Burden of Disease,-90023.74672737857,Achievable Without Disease (gmax)
United Kingdom,2019,Burden of Disease,-77960.6618861754,Achievable Without Disease (gmax)
United Kingdom,2020,Burden of Disease,-12956.338489506394,Achievable Without Disease (gmax)
United Kingdom,2011,Mortality and Condemns,63081.0477557111,Burden of Disease
United Kingdom,2012,Mortality and Condemns,78778.70510203633,Burden of Disease
United Kingdom,2013,Mortality and Condemns,63176.08473888213,Burden of Disease
United Kingdom,2014,Mortality and Condemns,56935.79769690055,Burden of Disease
United Kingdom,2015,Mortality and Condemns,29624.27113007299,Burden of Disease
United Kingdom,2016,Mortality and Condemns,30683.352886971978,Burden of Disease
United Kingdom,2017,Mortality and Condemns,16904.990718978974,Burden of Disease
United Kingdom,2018,Mortality and Condemns,10382.139414429172,Burden of Disease
United Kingdom,2019,Mortality and Condemns,40878.81100687406,Burden of Disease
United Kingdom,2020,Mortality and Condemns,111614.8296691864,Burden of Disease
United Kingdom,2011,Reduced Growth,0.0,Burden of Disease
United Kingdom,2012,Reduced Growth,0.0,Burden of Disease
United Kingdom,2013,Reduced Growth,0.0,Burden of Disease
United Kingdom,2014,Reduced Growth,0.0,Burden of Disease
United Kingdom,2015,Reduced Growth,0.0,Burden of Disease
United Kingdom,2016,Reduced Growth,0.0,Burden of Disease
United Kingdom,2017,Reduced Growth,0.0,Burden of Disease
United Kingdom,2018,Reduced Growth,0.0,Burden of Disease
United Kingdom,2019,Reduced Growth,0.0,Burden of Disease
United Kingdom,2020,Reduced Growth,0.0,Burden of Disease
