region,scope,number_of_countries,antimicrobial_class,amu_tonnes,importance_ctg,biomass_total_kg,amu_mg_perkgbiomass
Africa,AGP,1.0,aggregated_class_data,2.112,D: Unknown,,
Africa,AGP,1.0,aminoglycosides,0.0,A: Critically Important,,
Africa,AGP,1.0,amphenicols,0.0,B: Highly Important,,
Africa,AGP,1.0,fluoroquinolones,0.0,A: Critically Important,,
Africa,AGP,1.0,lincosamides,0.0,B: Highly Important,,
Africa,AGP,1.0,macrolides,0.0,A: Critically Important,,
Africa,AGP,1.0,others,19.25,D: Unknown,,
Africa,AGP,1.0,penicillins,0.0,A: Critically Important,,
Africa,AGP,1.0,pleuromutilins,0.0,C: Other,,
Africa,AGP,1.0,polypeptides,0.134,C: Other,,
Africa,AGP,1.0,quinoxalines,0.0,C: Other,,
Africa,AGP,1.0,sulfonamides__including_trimethoprim,3.863,B: Highly Important,,
Africa,AGP,1.0,tetracyclines,3.902,B: Highly Important,,
Africa,AGP,1.0,total_antimicrobials,29.261000000000003,D: Unknown,,
Africa,All,24.0,aggregated_class_data,2.112,D: Unknown,82210550037.93834,0.025690133432088206
Africa,All,24.0,aminoglycosides,33.65154353510884,A: Critically Important,82210550037.93834,0.4093336380741815
Africa,All,24.0,amphenicols,20.410307295,B: Highly Important,82210550037.93834,0.24826871107882256
Africa,All,24.0,fluoroquinolones,91.39779790500002,A: Critically Important,82210550037.93834,1.1117526626792056
Africa,All,24.0,lincosamides,1.36453,B: Highly Important,82210550037.93834,0.01659799136935953
Africa,All,24.0,macrolides,78.34148013000001,A: Critically Important,82210550037.93834,0.9529370633555809
Africa,All,24.0,others,145.73743335,D: Unknown,82210550037.93834,1.7727339530357773
Africa,All,24.0,penicillins,139.48317097044,A: Critically Important,82210550037.93834,1.696657800076409
Africa,All,24.0,pleuromutilins,3.6,C: Other,82210550037.93834,0.04379000016833217
Africa,All,24.0,polypeptides,50.477093846604504,C: Other,82210550037.93834,0.6139977633443694
Africa,All,24.0,quinoxalines,0.0,C: Other,82210550037.93834,0.0
Africa,All,24.0,sulfonamides__including_trimethoprim,103.43037745619999,B: Highly Important,82210550037.93834,1.2581156239493494
Africa,All,24.0,tetracyclines,740.348046675,B: Highly Important,82210550037.93834,9.005511413478512
Africa,All,24.0,total_antimicrobials,1410.3537811633535,D: Unknown,82210550037.93834,17.155386754041988
Africa,Terrestrial Food Producing,6.0,aggregated_class_data,0.0,D: Unknown,81776881551.43832,0.0
Africa,Terrestrial Food Producing,6.0,aminoglycosides,3.8016855000000005,A: Critically Important,81776881551.43832,0.04648851151909857
Africa,Terrestrial Food Producing,6.0,amphenicols,9.3548,B: Highly Important,81776881551.43832,0.11439418846163453
Africa,Terrestrial Food Producing,6.0,fluoroquinolones,21.7742,A: Critically Important,81776881551.43832,0.2662635158850347
Africa,Terrestrial Food Producing,6.0,lincosamides,0.0289,B: Highly Important,81776881551.43832,0.00035340061215004465
Africa,Terrestrial Food Producing,6.0,macrolides,25.859299999999994,A: Critically Important,81776881551.43832,0.3162177318260086
Africa,Terrestrial Food Producing,6.0,others,113.48313,D: Unknown,81776881551.43832,1.3877165263219065
Africa,Terrestrial Food Producing,6.0,penicillins,23.96869234544,A: Critically Important,81776881551.43832,0.293098634855176
Africa,Terrestrial Food Producing,6.0,pleuromutilins,0.0,C: Other,81776881551.43832,0.0
Africa,Terrestrial Food Producing,6.0,polypeptides,8.007412247,C: Other,81776881551.43832,0.0979177989559711
Africa,Terrestrial Food Producing,6.0,quinoxalines,0.0,C: Other,81776881551.43832,0.0
Africa,Terrestrial Food Producing,6.0,sulfonamides__including_trimethoprim,39.2480805082,B: Highly Important,81776881551.43832,0.479941026896613
Africa,Terrestrial Food Producing,6.0,tetracyclines,99.31643682500001,B: Highly Important,81776881551.43832,1.2144806079763406
Africa,Terrestrial Food Producing,6.0,total_antimicrobials,344.84263742563996,D: Unknown,81776881551.43832,4.2168719433099335
Americas,AGP,5.0,aggregated_class_data,212.566,D: Unknown,,
Americas,AGP,5.0,aminoglycosides,0.0,A: Critically Important,,
Americas,AGP,5.0,amphenicols,0.0,B: Highly Important,,
Americas,AGP,5.0,fluoroquinolones,0.0,A: Critically Important,,
Americas,AGP,5.0,lincosamides,22.0210782,B: Highly Important,,
Americas,AGP,5.0,macrolides,62.46305198999999,A: Critically Important,,
Americas,AGP,5.0,others,243.83021596,D: Unknown,,
Americas,AGP,5.0,penicillins,0.025,A: Critically Important,,
Americas,AGP,5.0,pleuromutilins,37.982856874999996,C: Other,,
Americas,AGP,5.0,polypeptides,502.08734898838,C: Other,,
Americas,AGP,5.0,quinoxalines,0.0,C: Other,,
Americas,AGP,5.0,sulfonamides__including_trimethoprim,0.0,B: Highly Important,,
Americas,AGP,5.0,tetracyclines,4.8126789,B: Highly Important,,
Americas,AGP,5.0,total_antimicrobials,1085.78823091338,D: Unknown,,
Americas,All,19.0,aggregated_class_data,1342.566904,D: Unknown,307414936043.14056,4.36727935630165
Americas,All,19.0,aminoglycosides,762.3757826245582,A: Critically Important,307414936043.14056,2.479956870142352
Americas,All,19.0,amphenicols,739.797925,B: Highly Important,307414936043.14056,2.406512625971373
Americas,All,19.0,fluoroquinolones,428.54548516660003,A: Critically Important,307414936043.14056,1.3940294856280528
Americas,All,19.0,lincosamides,379.67399613999993,B: Highly Important,307414936043.14056,1.2350538364431292
Americas,All,19.0,macrolides,1472.3875462015326,A: Critically Important,307414936043.14056,4.789577127101292
Americas,All,19.0,others,779.1194832665001,D: Unknown,307414936043.14056,2.5344229961460414
Americas,All,19.0,penicillins,1851.932388023641,A: Critically Important,307414936043.14056,6.024210833281546
Americas,All,19.0,pleuromutilins,369.877642475,C: Other,307414936043.14056,1.2031869603859906
Americas,All,19.0,polypeptides,1746.9940220419883,C: Other,307414936043.14056,5.682853424522049
Americas,All,19.0,quinoxalines,34.794,C: Other,307414936043.14056,0.11318252928061126
Americas,All,19.0,sulfonamides__including_trimethoprim,796.4145453110001,B: Highly Important,307414936043.14056,2.5906826635100013
Americas,All,19.0,tetracyclines,8517.692808254998,B: Highly Important,307414936043.14056,27.707478751324178
Americas,All,19.0,total_antimicrobials,19222.17252850582,D: Unknown,307414936043.14056,62.52842746003827
Americas,Terrestrial Food Producing,11.0,aggregated_class_data,87.28412,D: Unknown,299914043716.64056,0.2910304529869439
Americas,Terrestrial Food Producing,11.0,aminoglycosides,166.50740406923404,A: Critically Important,299914043716.64056,0.5551837520037928
Americas,Terrestrial Food Producing,11.0,amphenicols,96.02734378000001,B: Highly Important,299914043716.64056,0.3201828850359767
Americas,Terrestrial Food Producing,11.0,fluoroquinolones,173.17156194999998,A: Critically Important,299914043716.64056,0.5774039781665338
Americas,Terrestrial Food Producing,11.0,lincosamides,50.15478038999999,B: Highly Important,299914043716.64056,0.16723051634549777
Americas,Terrestrial Food Producing,11.0,macrolides,307.94853991403255,A: Critically Important,299914043716.64056,1.0267893296953543
Americas,Terrestrial Food Producing,11.0,others,198.9333138565,D: Unknown,299914043716.64056,0.6633010958448236
Americas,Terrestrial Food Producing,11.0,penicillins,401.5405668801895,A: Critically Important,299914043716.64056,1.3388521654543322
Americas,Terrestrial Food Producing,11.0,pleuromutilins,225.37439490000003,C: Other,299914043716.64056,0.7514632929724833
Americas,Terrestrial Food Producing,11.0,polypeptides,169.39966942836,C: Other,299914043716.64056,0.5648273996412425
Americas,Terrestrial Food Producing,11.0,quinoxalines,0.0,C: Other,299914043716.64056,0.0
Americas,Terrestrial Food Producing,11.0,sulfonamides__including_trimethoprim,158.21083041999995,B: Highly Important,299914043716.64056,0.5275205804282972
Americas,Terrestrial Food Producing,11.0,tetracyclines,548.0339444299999,B: Highly Important,299914043716.64056,1.8273033754557475
Americas,Terrestrial Food Producing,11.0,total_antimicrobials,2582.5864700183156,D: Unknown,299914043716.64056,8.611088824031025
"Asia, Far East and Oceania",AGP,6.0,aggregated_class_data,0.0,D: Unknown,,
"Asia, Far East and Oceania",AGP,6.0,aminoglycosides,0.707,A: Critically Important,,
"Asia, Far East and Oceania",AGP,6.0,amphenicols,0.0,B: Highly Important,,
"Asia, Far East and Oceania",AGP,6.0,fluoroquinolones,0.0,A: Critically Important,,
"Asia, Far East and Oceania",AGP,6.0,lincosamides,0.21,B: Highly Important,,
"Asia, Far East and Oceania",AGP,6.0,macrolides,1174.582,A: Critically Important,,
"Asia, Far East and Oceania",AGP,6.0,others,662.593,D: Unknown,,
"Asia, Far East and Oceania",AGP,6.0,penicillins,7.174,A: Critically Important,,
"Asia, Far East and Oceania",AGP,6.0,pleuromutilins,12.399,C: Other,,
"Asia, Far East and Oceania",AGP,6.0,polypeptides,1514.758,C: Other,,
"Asia, Far East and Oceania",AGP,6.0,quinoxalines,1312.213,C: Other,,
