location_name,map_id,reporting_year,antibiotic_pathogen_combo,sum_isolates,overall_prev,prop_2_5,prop_97_5,woah_region,antimicrobial_class,pathogen
ALGERIA,DZA,2009,Fluoroquinolones & Non-typhoidal Salmonella,13,0.1205890245,0.00692673028,0.23554901879999998,Africa,Fluoroquinolones,Non-typhoidal Salmonella
ALGERIA,DZA,2010,Aminoglycosides & E. coli,114,0.01048600213,0.0006311411,0.02347210613,Africa,Aminoglycosides,E. coli
ALGERIA,DZA,2010,Aminopenicillins & E. coli,114,0.0,2.9774400000000003e-06,9.446606e-05,Africa,Aminopenicillins,E. coli
ALGERIA,DZA,2010,Aminopenicillins with beta-lactamase inhibitors & E. coli,114,0.4823560978,0.45719202789999996,0.5071817124,Africa,Aminopenicillins with beta-lactamase inhibitors,E. coli
ALGERIA,DZA,2012,Aminoglycosides & E. coli,99,0.00460748578,0.00033663378,0.01384040659,Africa,Aminoglycosides,E. coli
ALGERIA,DZA,2012,Aminopenicillins & E. coli,99,0.3942313123,0.3465179667,0.4417702577,Africa,Aminopenicillins,E. coli
ALGERIA,DZA,2012,Aminopenicillins with beta-lactamase inhibitors & E. coli,99,0.0181651451,0.0049902244899999995,0.03997490239,Africa,Aminopenicillins with beta-lactamase inhibitors,E. coli
ALGERIA,DZA,2012,Fluoroquinolones & E. coli,99,0.3764368844,0.3265391955,0.42246907380000004,Africa,Fluoroquinolones,E. coli
ALGERIA,DZA,2012,Third generation cephalosporins & E. coli,99,0.0,1.684219e-05,0.00013019342999999998,Africa,Third generation cephalosporins,E. coli
ALGERIA,DZA,2013,Aminoglycosides & E. coli,85,0.1782620362,0.1271231633,0.2285713342,Africa,Aminoglycosides,E. coli
ALGERIA,DZA,2013,Aminopenicillins & E. coli,85,0.2726360553,0.2196845604,0.3260197539,Africa,Aminopenicillins,E. coli
ALGERIA,DZA,2013,Aminopenicillins with beta-lactamase inhibitors & E. coli,85,0.07864501595000001,0.0404042837,0.11582956259999999,Africa,Aminopenicillins with beta-lactamase inhibitors,E. coli
ALGERIA,DZA,2013,Fluoroquinolones & E. coli,255,0.09961702021,0.07069166992999999,0.1284134055,Africa,Fluoroquinolones,E. coli
ALGERIA,DZA,2013,Fluoroquinolones & S. aureus,67,0.0,2.65454e-06,0.00011087247,Africa,Fluoroquinolones,S. aureus
ALGERIA,DZA,2013,Macrolides & S. aureus,67,0.02377597202,0.0010769247799999999,0.047380571710000007,Africa,Macrolides,S. aureus
ALGERIA,DZA,2014,Aminoglycosides & E. coli,221,0.5423575601999999,0.46991425,0.6124539114,Africa,Aminoglycosides,E. coli
ALGERIA,DZA,2014,Aminopenicillins & E. coli,13,0.2831220574,0.1472661911,0.41884283949999995,Africa,Aminopenicillins,E. coli
ALGERIA,DZA,2014,Aminopenicillins with beta-lactamase inhibitors & E. coli,217,0.4162675007,0.27849877559999997,0.5521855241,Africa,Aminopenicillins with beta-lactamase inhibitors,E. coli
ALGERIA,DZA,2014,Fluoroquinolones & E. coli,434,0.9047156586,0.8856725221,0.9261575098,Africa,Fluoroquinolones,E. coli
ALGERIA,DZA,2014,Macrolides & S. aureus,1833,0.5046649677,0.4712006923,0.5387202526,Africa,Macrolides,S. aureus
ALGERIA,DZA,2014,Third generation cephalosporins & E. coli,217,0.5869703747,0.5054323891,0.6339601029,Africa,Third generation cephalosporins,E. coli
ANGOLA,AGO,2013,Aminoglycosides & E. coli,10,0.5838794584,0.2725419824,0.7789317158,Africa,Aminoglycosides,E. coli
ANGOLA,AGO,2013,Fluoroquinolones & E. coli,10,0.44968601900000005,0.1080418089,0.7991511207,Africa,Fluoroquinolones,E. coli
ANGOLA,AGO,2013,Third generation cephalosporins & E. coli,6,0.21583230960000002,0.2156639285,0.21582818,Africa,Third generation cephalosporins,E. coli
ARGENTINA,ARG,2002,Macrolides & S. aureus,52,0.04623006638,0.0027698721700000002,0.09336043256,Americas,Macrolides,S. aureus
ARGENTINA,ARG,2006,Aminoglycosides & E. coli,69,0.02876913256,0.0245604302,0.0329091045,Americas,Aminoglycosides,E. coli
ARGENTINA,ARG,2006,Aminopenicillins & E. coli,69,0.030413082990000003,0.026310668920000002,0.034474366719999996,Americas,Aminopenicillins,E. coli
ARGENTINA,ARG,2006,Aminopenicillins with beta-lactamase inhibitors & E. coli,69,0.0,2.4899999999999997e-07,9.481580000000001e-06,Americas,Aminopenicillins with beta-lactamase inhibitors,E. coli
ARGENTINA,ARG,2006,Third generation cephalosporins & E. coli,69,0.0,3.82e-07,9.54986e-06,Americas,Third generation cephalosporins,E. coli
ARGENTINA,ARG,2007,Aminoglycosides & E. coli,137,0.1494660673,0.08046434956000001,0.2246661619,Americas,Aminoglycosides,E. coli
ARGENTINA,ARG,2007,Aminopenicillins & E. coli,137,0.103881411,0.06260016363,0.1584203454,Americas,Aminopenicillins,E. coli
ARGENTINA,ARG,2007,Aminopenicillins with beta-lactamase inhibitors & E. coli,137,0.0,3.051251e-05,0.00025942067,Americas,Aminopenicillins with beta-lactamase inhibitors,E. coli
ARGENTINA,ARG,2007,Fluoroquinolones & E. coli,274,0.01966198851,0.00799263074,0.03283521656,Americas,Fluoroquinolones,E. coli
ARGENTINA,ARG,2007,Fluoroquinolones & Non-typhoidal Salmonella,118,0.19089096690000001,0.1908101912,0.19089087159999998,Americas,Fluoroquinolones,Non-typhoidal Salmonella
ARGENTINA,ARG,2007,Third generation cephalosporins & E. coli,137,0.0,3.0490080000000003e-05,0.0002607596,Americas,Third generation cephalosporins,E. coli
ARGENTINA,ARG,2009,Aminoglycosides & E. coli,56,0.1078701549,0.04087244904,0.17333164709999999,Americas,Aminoglycosides,E. coli
ARGENTINA,ARG,2009,Aminopenicillins & E. coli,56,0.1078701549,0.041147317489999995,0.175551341,Americas,Aminopenicillins,E. coli
ARGENTINA,ARG,2009,Fluoroquinolones & E. coli,56,0.0,3.5764899999999997e-06,0.00019547068000000002,Americas,Fluoroquinolones,E. coli
ARGENTINA,ARG,2012,Aminoglycosides & E. coli,40,0.018494442360000002,0.01259178863,0.024476618819999997,Americas,Aminoglycosides,E. coli
ARGENTINA,ARG,2012,Aminopenicillins & E. coli,128,0.01572027601,0.012467472100000002,0.01880940965,Americas,Aminopenicillins,E. coli
ARGENTINA,ARG,2012,Aminopenicillins with beta-lactamase inhibitors & E. coli,40,0.00205493804,0.00013789215,0.0047066780200000005,Americas,Aminopenicillins with beta-lactamase inhibitors,E. coli
ARGENTINA,ARG,2012,Fluoroquinolones & E. coli,80,0.00410987608,0.0009993633,0.00704127688,Americas,Fluoroquinolones,E. coli
ARGENTINA,ARG,2013,Aminoglycosides & E. coli,19,0.0,8.20724e-06,0.00033890157999999997,Americas,Aminoglycosides,E. coli
ARGENTINA,ARG,2013,Aminopenicillins & E. coli,19,0.0,8.77291e-06,0.00034303914,Americas,Aminopenicillins,E. coli
