location_name,map_id,reporting_year,sum_isolates,overall_prev,woah_region,antimicrobial_class,pathogen,keep_year
AUSTRIA,AUT,2018,174,0.00538876617,Europe,Aminoglycosides,E. coli,2018
AUSTRIA,AUT,2018,174,0.04464977682,Europe,Aminopenicillins,E. coli,2018
AUSTRIA,AUT,2018,348,0.07159360766,Europe,Fluoroquinolones,E. coli,2018
AUSTRIA,AUT,2018,265,0.08542428999,Europe,Fluoroquinolones,Non-typhoidal Salmonella,2018
AUSTRIA,AUT,2018,174,0.0,Europe,Third generation cephalosporins,E. coli,2018
BELGIUM,BEL,2018,146,0.02654955308,Europe,Aminoglycosides,E. coli,2018
BELGIUM,BEL,2018,146,0.20409968930000003,Europe,Aminopenicillins,E. coli,2018
BELGIUM,BEL,2018,292,0.14436319490000002,Europe,Fluoroquinolones,E. coli,2018
BELGIUM,BEL,2018,204,0.08906789407,Europe,Fluoroquinolones,Non-typhoidal Salmonella,2018
BELGIUM,BEL,2018,292,0.03650563548,Europe,Third generation cephalosporins,E. coli,2018
BULGARIA,BGR,2018,100,0.06853425124,Europe,Aminoglycosides,E. coli,2018
BULGARIA,BGR,2018,100,0.2692417013,Europe,Aminopenicillins,E. coli,2018
BULGARIA,BGR,2018,100,0.3916242928,Europe,Fluoroquinolones,E. coli,2018
BULGARIA,BGR,2018,47,0.1354020161,Europe,Fluoroquinolones,Non-typhoidal Salmonella,2018
BULGARIA,BGR,2018,100,0.0244765183,Europe,Third generation cephalosporins,E. coli,2018
CANADA,CAN,2018,2113,0.29907386410000003,Americas,Aminoglycosides,E. coli,2018
CANADA,CAN,2018,2113,0.16374262259999997,Americas,Aminopenicillins,E. coli,2018
CANADA,CAN,2018,2113,0.020271759349999998,Americas,Aminopenicillins with beta-lactamase inhibitors,E. coli,2018
CANADA,CAN,2018,2113,0.0020773418900000003,Americas,Fluoroquinolones,E. coli,2018
CANADA,CAN,2018,1507,0.0031489394500000003,Americas,Fluoroquinolones,Non-typhoidal Salmonella,2018
CANADA,CAN,2018,2113,0.01957224829,Americas,Third generation cephalosporins,E. coli,2018
