Expert,AHLE,Production system,Age class,Cause,min,avg,max
A,Mortality,Crop livestock mixed,Neonate,Infectious,40.000,70.000,85.000
A,Mortality,Crop livestock mixed,Neonate,Non-infectious,10.000,20.000,25.000
A,Mortality,Crop livestock mixed,Neonate,External,1.000,5.000,10.000
A,Mortality,Crop livestock mixed,Juvenile,Infectious,50.000,80.000,85.000
A,Mortality,Crop livestock mixed,Juvenile,Non-infectious,5.000,15.000,20.000
A,Mortality,Crop livestock mixed,Juvenile,External,1.000,5.000,10.000
A,Mortality,Crop livestock mixed,Adult female,Infectious,20.000,60.000,70.000
A,Mortality,Crop livestock mixed,Adult female,Non-infectious,10.000,30.000,35.000
A,Mortality,Crop livestock mixed,Adult female,External,2.000,10.000,15.000
A,Mortality,Crop livestock mixed,Adult male,Infectious,20.000,70.000,75.000
A,Mortality,Crop livestock mixed,Adult male,Non-infectious,10.000,20.000,25.000
A,Mortality,Crop livestock mixed,Adult male,External,2.000,10.000,15.000
B,Mortality,Crop livestock mixed,Neonate,Infectious,10.000,35.000,60.000
B,Mortality,Crop livestock mixed,Neonate,Non-infectious,5.000,30.000,50.000
B,Mortality,Crop livestock mixed,Neonate,External,10.000,35.000,60.000
B,Mortality,Crop livestock mixed,Juvenile,Infectious,15.000,40.000,70.000
B,Mortality,Crop livestock mixed,Juvenile,Non-infectious,5.000,30.000,40.000
B,Mortality,Crop livestock mixed,Juvenile,External,10.000,30.000,50.000
B,Mortality,Crop livestock mixed,Adult female,Infectious,10.000,50.000,60.000
B,Mortality,Crop livestock mixed,Adult female,Non-infectious,8.000,20.000,40.000
B,Mortality,Crop livestock mixed,Adult female,External,10.000,30.000,45.000
B,Mortality,Crop livestock mixed,Adult male,Infectious,15.000,55.000,56.000
B,Mortality,Crop livestock mixed,Adult male,Non-infectious,6.000,10.000,20.000
B,Mortality,Crop livestock mixed,Adult male,External,10.000,35.000,50.000
C,Mortality,Crop livestock mixed,Neonate,Infectious,35.000,40.000,41.000
C,Mortality,Crop livestock mixed,Neonate,Non-infectious,30.000,35.000,36.000
C,Mortality,Crop livestock mixed,Neonate,External,20.000,25.000,26.000
C,Mortality,Crop livestock mixed,Juvenile,Infectious,32.000,35.000,36.000
C,Mortality,Crop livestock mixed,Juvenile,Non-infectious,30.000,35.000,36.000
