Commodity,Attribute,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Unit Description
"Meat, Chicken",Beginning Stocks,Angola,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Australia,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Benin,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Canada,38,37,33,36,39,35,44,43,46,54,58,60,(1000 MT)
"Meat, Chicken",Beginning Stocks,Chile,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,China,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Congo (Brazzaville),0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,European Union,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
