"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2014","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, HOG FEED, 14-18% PROTEIN - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","507",""
"SURVEY","2014","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, HOG FEED, 38-42% PROTEIN CONC. - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","666",""
"SURVEY","2014","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, POULTRY FEED, BROILER GROWER COMPLETE - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","654",""
"SURVEY","2014","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, POULTRY FEED, CHICK STARTER COMPLETE - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","644",""
"SURVEY","2013","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, HOG FEED, 14-18% PROTEIN - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","490",""
"SURVEY","2013","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, HOG FEED, 38-42% PROTEIN CONC. - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","646",""
"SURVEY","2013","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, POULTRY FEED, BROILER GROWER COMPLETE - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","639",""
"SURVEY","2013","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, POULTRY FEED, CHICK STARTER COMPLETE - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","628",""
"SURVEY","2012","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, HOG FEED, 14-18% PROTEIN - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","475",""
"SURVEY","2012","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, HOG FEED, 38-42% PROTEIN CONC. - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","592",""
"SURVEY","2012","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, POULTRY FEED, BROILER GROWER COMPLETE - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","591",""
"SURVEY","2012","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, POULTRY FEED, CHICK STARTER COMPLETE - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","597",""
"SURVEY","2011","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, HOG FEED, 14-18% PROTEIN - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","385",""
"SURVEY","2011","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, HOG FEED, 38-42% PROTEIN CONC. - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","563",""
"SURVEY","2011","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, POULTRY FEED, BROILER GROWER COMPLETE - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","502",""
"SURVEY","2011","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FEED","FEED, POULTRY FEED, CHICK STARTER COMPLETE - PRICE PAID, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","541",""
