"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN LB, LIVE BASIS","TOTAL","NOT SPECIFIED","125,633,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN PCT OF SLAUGHTER","TOTAL","NOT SPECIFIED","0.21",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN LB, LIVE BASIS","TOTAL","NOT SPECIFIED","137,922,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN PCT OF SLAUGHTER","TOTAL","NOT SPECIFIED","0.23",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN LB, LIVE BASIS","TOTAL","NOT SPECIFIED","138,619,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN PCT OF SLAUGHTER","TOTAL","NOT SPECIFIED","0.24",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN LB, LIVE BASIS","TOTAL","NOT SPECIFIED","133,804,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN PCT OF SLAUGHTER","TOTAL","NOT SPECIFIED","0.24",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN LB, LIVE BASIS","TOTAL","NOT SPECIFIED","135,150,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN PCT OF SLAUGHTER","TOTAL","NOT SPECIFIED","0.25",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN LB, LIVE BASIS","TOTAL","NOT SPECIFIED","130,226,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN PCT OF SLAUGHTER","TOTAL","NOT SPECIFIED","0.24",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN LB, LIVE BASIS","TOTAL","NOT SPECIFIED","116,962,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN PCT OF SLAUGHTER","TOTAL","NOT SPECIFIED","0.22",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN LB, LIVE BASIS","TOTAL","NOT SPECIFIED","107,789,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, ANTE-MORTEM, MEASURED IN PCT OF SLAUGHTER","TOTAL","NOT SPECIFIED","0.21",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, SLAUGHTER, FI - CONDEMNED, POST-MORTEM, ALL CAUSES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","28,965,271",""
