Commodity,Attribute,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit Description
"Animal Numbers, Swine",Beginning Stocks,Australia,"2,302","2,289","2,285","2,138","2,098","2,308","2,272",0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Beginning Stocks,Belarus,"3,782","3,887","3,989","4,243","3,267","2,925",0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Beginning Stocks,Brazil,"35,122","36,652","38,336","38,577","38,844","39,395","39,422","39,215","38,829","38,427","37,850","37,350","35,688",(1000 HEAD)
"Animal Numbers, Swine",Beginning Stocks,Canada,"12,465","12,615","12,770","12,745","12,835","13,180","13,630","13,935","14,170","13,975","13,970","14,030","14,110",(1000 HEAD)
"Animal Numbers, Swine",Beginning Stocks,China,"471,772","467,652","470,748","480,302","478,931","471,602","458,029","442,092","441,589","428,070","310,410","406,500","449,220",(1000 HEAD)
"Animal Numbers, Swine",Beginning Stocks,European Union,"152,780","152,361","149,809","146,982","146,172","148,341","144,294","142,650","145,544","143,519","143,146","145,877","141,699",(1000 HEAD)
"Animal Numbers, Swine",Beginning Stocks,Japan,"10,000","9,768","9,735","9,685","9,537","9,440","9,313","9,346","9,280","9,156","9,090","9,290","9,074",(1000 HEAD)
"Animal Numbers, Swine",Beginning Stocks,"Korea, South","8,721","8,449","8,171","9,916","9,912","10,090","10,187","11,487","11,273","11,333","11,280","11,078","11,217",(1000 HEAD)
"Animal Numbers, Swine",Beginning Stocks,Mexico,"8,979","9,007","9,276","9,510","9,775","9,788","10,043","10,229","10,410","10,700","11,050","11,500","11,775",(1000 HEAD)
"Animal Numbers, Swine",Beginning Stocks,Russia,"17,288","17,251","17,263","18,785","19,010","19,308","21,239","21,782","22,945","23,600","25,048","25,744","26,200",(1000 HEAD)
"Animal Numbers, Swine",Beginning Stocks,Ukraine,"7,577","7,960","7,373","7,577","7,922","7,492","7,240","6,816","6,236","6,150","5,842","5,986","6,000",(1000 HEAD)
"Animal Numbers, Swine",Beginning Stocks,United Kingdom,0,0,0,0,0,0,"4,422","4,538","4,713","4,648","4,741","4,758","5,075",(1000 HEAD)
"Animal Numbers, Swine",Beginning Stocks,United States,"64,687","64,725","66,259","66,224","64,775","67,626","69,019","71,345","73,145","75,070","76,833","77,312","74,146",(1000 HEAD)
"Animal Numbers, Swine",Beginning Stocks,World,"795,475","792,616","796,014","806,684","803,078","801,495","789,110","773,435","778,134","764,648","649,260","749,425","784,204",(1000 HEAD)
"Animal Numbers, Swine",Sow Beginning Stocks,Australia,232,261,237,225,266,271,270,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Sow Beginning Stocks,Belarus,375,380,395,400,390,385,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Sow Beginning Stocks,Brazil,"2,890","2,925","2,920","2,910","2,920","2,930","2,940","2,945","2,950","2,975","3,005","3,010","2,980",(1000 HEAD)
"Animal Numbers, Swine",Sow Beginning Stocks,Canada,"1,227","1,193","1,208","1,175","1,179","1,185","1,215","1,236","1,240","1,236","1,228","1,240","1,244",(1000 HEAD)
"Animal Numbers, Swine",Sow Beginning Stocks,China,"49,100","47,500","49,280","50,432","50,000","47,000","45,100","44,950","43,610","37,000","31,000","39,500","40,000",(1000 HEAD)
"Animal Numbers, Swine",Sow Beginning Stocks,European Union,"14,005","13,682","13,253","12,737","12,511","12,542","11,805","11,532","11,674","11,294","11,328","11,255","10,864",(1000 HEAD)
