"",Industry,Economic,Public,Zoonotic,Animal,International,Disease,Genetic,OG rank,OG rank
Pathogen/disease,concern,impact,concern,potential,welfare,trade,score,variation,within species,across species
Mastitis,3,3,,1,2,,9,3,4.5,7.5
Bovine leukaemia,2,2,,,3,,7,2,3.2,6.2
Gastrointestinal parasites,2,2,,,2,,6,2,3,6
Paratuberculosis,3,3,1,2,,,9,1,2.5,5.5
Bovine TB,2,1,1,3,1,,8,1,2.3,5.3
Bacterial pneumonia,3,2,,,2,,7,1,2.2,5.2
E. coli,3,3,3,3,1,,13,,2.2,5.2
FMD,3,3,2,,2,2,11,,1.8,4.8
Brucellosis,2,2,1,3,1,2,11,,1.8,4.8
IBR,2,2,,,,,4,1,1.7,4.7
Salmonella spp.,2,2,3,3,,,10,,1.7,4.7
BVD,3,3,,,3,,9,,1.5,4.5
Leptospirosis,2,2,,3,1,,8,,1.3,4.3
